Date,Part Number,serialNumber,typeName,stationNumber,stationDescription,Faulire Code,Failure Description,Defect,failureDetails,Action Code,Material Code,Material Desc,partClass
9/2/2022 0:00,10003939,1679629,Test,1-ET,Flex Test Bench,R+JX,R+JX,60Mhz Real,Match failed impedance with Real value at tap tap 0.  Suggest replacing 60MHz variable cap SN1633325., Replace Component/NCR,10000679-001,CVHE-330AC/10-BEAA-CF,Capacitor
9/2/2022 0:00,20031909,2230303,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A3,C11 could not adjust to meet specs., Replace Component/NCR,20045849,ASSY PMD 40MHZ GND-ISO NON-CAL,Phase Mag
9/2/2022 0:00,20063155,1678530,Assembly,4-F,AMAT/LAM Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Defected part ( wrong connector)   external, Replace Component/NCR,200062797,"CA ASSY DC PWR SUPPLY: FILTER,FAN & PCB",Cables & Cable Assy's
9/2/2022 0:00,20091588,1676785,Test,2-AT,RF Test Bench,Components,Component Failures,Fan/Motors/Cables,C1 is defective . please replace, Replace Component/NCR,10003062-001,CVZV-4000BC/5-BCF,Capacitor
9/2/2022 0:00,20108676,2229907,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Voltage Test,V-Side Test,Could Not Tune Coeff,"CnTC-V, Some files could not be tuned", Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/3/2022 0:00,10003939,1679633,Test,1-ET,Flex Test Bench,R+JX,R+JX,60Mhz Real,Match failed impedance with Real value measured below SPEC 1.44 ohm.  It should be R=1.55 Ohm .  Suggest replacing 60MHz variable cap SN1630490., Replace Component/NCR,10000679-001,CVHE-330AC/10-BEAA-CF,Capacitor
9/3/2022 0:00,20108675,2220016,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/3/2022 0:00,853-043759-225,1677318,Test,CL-4,Kiyo Test Clone 4,700W Test,700W test,Reflected Power,"fail: match hang up during in 700 watts test, need to open the match to investigate.",Open Match to Investigate,,,Others
9/6/2022 0:00,20031909,2230274,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A1,semiconductor issue, Replace Component/NCR,20045849,ASSY PMD 40MHZ GND-ISO NON-CAL,Phase Mag
9/6/2022 0:00,20062704,1677482,Assembly,4-D,AMAT/LAM Bench,Assembly,Station Issues,Fixture/Others,Too thick not moving up and down, Replace Component/NCR,200061926,COUPLER PEEK 33MM,Others
9/6/2022 0:00,853-040482-676,1383316,Test,1-BT,Flex Test Bench,Components,Component Failures,PCB Failure,Replaced PCBA Sn:21203833 w/ Sn:22332017, Replace Component/NCR,,,Controller PCBA
9/6/2022 0:00,853-040482-676,1430542,Test,1-BT,Flex Test Bench,Components,Component Failures,PCB Failure,Replaced PCBA Sn:21301404 w/ Sn:22332224 Failed communication.  Replace PCBA., Replace Component/NCR,810-229658-003,"PCBA,MATCH INTERFACE SINGLE CAP",Controller PCBA
9/6/2022 0:00,853-043759-925,1682900,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,"Cap out of spec, Spec 100pf +/_ 1.0pf, Reading 98.92pf.", Replace Component/NCR,20068272,CFMN-100DAC/30-AF-E,Capacitor
9/7/2022 0:00,20031907,2210121,Calibration,PMD Station,PMD Station,Phase Mag Tests,,C5,Exessive VMagErr over RF range., Replace Component/NCR,20045325,ASSY PMD 400KHZ GND-ISO NON-CAL,Phase Mag
9/7/2022 0:00,20062704,1677492,Assembly,2-A,SIRF Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,PEM nut is missing, Replace Component/NCR,20052568,"BRKT,SHIELD,PMD,RFM,40MHZ DC",Others
9/7/2022 0:00,20081525,1679636,Assembly,3-F,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Damaged HW,Cover strap damaged pam nut, Replace Component/NCR,20051553,COVER 2MHz STRAP,Others
9/7/2022 0:00,20081525,1679637,Assembly,3-F,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Screw stucked, Replace Component/NCR,20047098,COVER TOP,Others
9/7/2022 0:00,20081525,1679638,Assembly,3-F,Flex Assembly Bench,Hardware,Loose/Missing/Damage/Incorrect P/N,Missing HW,wrong fan, Replace Component/NCR,10004333,"FAN ASSY,4114N/17HH,W-CONN,945mm",Fan
9/7/2022 0:00,20088206,1682158,Assembly,3-D,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Fan received damaged on the top from vendor as it is, Replace Component/NCR,10010188,"FAN,119x38,24VDC/11W,237m3/H,4184NXH",Fan
9/7/2022 0:00,20108675,2220014,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Voltage Test,V-Side Test,Could Not Tune Coeff,CnTC-V, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/7/2022 0:00,20108675,2220019,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Voltage Test,V-Side Test,Could Not Tune Coeff,CnTC-V, Replace Component/NCR,,,V/I Probe
9/7/2022 0:00,853-043759-225,1682853,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,"VI probes are Mix, Received (X2) difference type and (x1) without test data.", Replace Component/NCR,20085492,"ASSY,VI PROBE,TCCT MTCH,FAST",V/I Probe
9/8/2022 0:00,10003940,1682139,Test,1-AT,Flex Test Bench,C Curves,Failure,Replace Capacitor,Imaginary of 60 MHz out of specs. Please replace CAP, Replace Component/NCR,10000679-001,CVHE-330AC/10-BEAA-CF,Capacitor
9/8/2022 0:00,10003940,1682140,Test,1-AT,Flex Test Bench,C Curves,Failure,Replace Capacitor,Imaginary of 60 MHZ not in specs, Replace Component/NCR,10000679-001,CVHE-330AC/10-BEAA-CF,Capacitor
9/8/2022 0:00,10006212,1679607,Test,CL-2,Kiyo Test Clone 2,25W Test,25W Test,Voltage Probe 3,voltage probe 3 & 4 out of spec.  706.92  696.48  751.52, Replace Component/NCR,10006270,V/I Probe,V/I Probe
9/8/2022 0:00,10006212,1679607,Test,CL-2,Kiyo Test Clone 2,25W Test,25W Test,Voltage Probe 4,voltage probe 3 & 4 out of spec.  706.92  696.48  751.52, Replace Component/NCR,10006270,V/I Probe,V/I Probe
9/8/2022 0:00,10007681,1682023,Test,1-ET,Flex Test Bench,Homing,Failure,Replace Board,PCB Homing does not move the value, Replace Component/NCR,,,Controller PCBA
9/8/2022 0:00,10009897,2211556,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A1,semiconductor issue, Replace Component/NCR,10009900,ASSY PMD 13.56MHZ GND-REF NON-CAL,Phase Mag
9/8/2022 0:00,10009897,2211608,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A1,semiconductor issue, Replace Component/NCR,10009900,ASSY PMD 13.56MHZ GND-REF NON-CAL,Phase Mag
9/8/2022 0:00,20088206,1682160,Assembly,3-D,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Damaged HW,Bottom Panel has a dent in the corner received from vendor as it is, Replace Component/NCR,20030827,PANEL BOTTOM,Sheet Metal
9/8/2022 0:00,20101362-001,2220047,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/8/2022 0:00,20101362-001,2220107,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Current Test,I-Side Test,Could Not Tune Coeff,CnTC-I, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/8/2022 0:00,853-043759-225,1672065,Test,CL-1,Kiyo Test Clone 1,VI Probe,VI Probe verification test,Reflected Power,"during vi verification test match hang up, no tuning.", Replace Component/NCR,20085492,"ASSY,VI PROBE,TCCT MTCH,FAST",V/I Probe
9/9/2022 0:00,20062704,1677491,Assembly,2-A,SIRF Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,long and deep scratches, Replace Component/NCR,200063000,"ENCL,RFM,10KW+DC",Sheet Metal
9/9/2022 0:00,20066743,1679643,Test,2-BT,Test Bench,RF Failure,RF Failure,RF Arched,Failed Rf Reflected PW high See attach, Replace Component/NCR,10009898,ASSY PMD 13.56MHZ GND-ISO CAL,Phase Mag
9/9/2022 0:00,20077728,1660191,Test,2-AT,RF Test Bench,RF Failure,RF Failure,RF Arched,It was failed at HF delta. The data on STN3 was shown higher than another STNs( replace C39)., Replace Component/NCR,20070197,CVLI-125CC/8-ZHWA-J,Capacitor
9/9/2022 0:00,853-043759-223,1682814,Test,CL-1,Kiyo Test Clone 1,Burn-In,List the highlighted failed parameter,C5 Cap Position,"NEED TO SWAP C5 TO C4, AND SWAP VI OUTER TO VI 3", Replace Component/NCR,20052572,CVUN-1500BC/7-BEAA,Capacitor
9/9/2022 0:00,853-043759-223,1687189,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Damaged Parts,Received part damage, Replace Component/NCR,10005830,"SHAFT,CAP DRIVE,2.31IN",Others
9/10/2022 0:00,20031909,2220158,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A3,C11 could not adjust to meet specs., Replace Component/NCR,20045849,ASSY PMD 40MHZ GND-ISO NON-CAL,Phase Mag
9/10/2022 0:00,20108675,1931619,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Voltage Test,V-Side Test,Could Not Tune Coeff,CnTC-V, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/12/2022 0:00,20088206,1682158,Test,2-BT,Test Bench,Components,Component Failures,Damaged Parts,fail impedance (corner1), Replace Component/NCR,,,Capacitor
9/12/2022 0:00,20101362-001,1910747,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Arching,Arch,Arch,Arching-Damaged probe, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/12/2022 0:00,20101362-001,2220088,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/12/2022 0:00,20108675,2012838,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/13/2022 0:00,20062704,1677485,Test,2- CT,Test Bench,Components,Component Failures,Damaged Parts,failed RF test. High Reflected RF output power at 1000W. Reading=400W. Should be <21W. Need replace Phase Mag, Replace Component/NCR,20031909,ASSY PMD 40MHZ GND-ISO CAL,Phase Mag
9/13/2022 0:00,20070547,1682823,Test,2-AT,RF Test Bench,Components,Component Failures,Damaged Parts,LF STN2 out of balance.  Replace C21, Replace Component/NCR,20070197,CVLI-125CC/8-ZHWA-J,Capacitor
9/13/2022 0:00,20077728,1660192,Test,2- CT,Test Bench,RF Failure,RF Failure,RF Arched,Replace LF cable., Replace Component/NCR,20077950,"CABLE ASSY,LF INPUT,7-16 F(BH)-M(RA)",Cables & Cable Assy's
9/13/2022 0:00,20081525,1682134,Assembly,3-F,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Damaged HW,RF connector is damaged ( pam nut), Replace Component/NCR,10007954,"CONN,RF,SQS(M-P) TO M4 RING TERM,PNL MT",Others
9/13/2022 0:00,20091588,1682830,Assembly,3-C,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Damaged Parts,Dent On The Cap C-2, Replace Component/NCR,10003062-001,CVZV-4000BC/5-BCF,Capacitor
9/13/2022 0:00,20091588,1682831,Assembly,3-D,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Top Panel has a long scratch received as it is from vendor, Replace Component/NCR,20030832,PANEL TOP,Sheet Metal
9/13/2022 0:00,20101362-002,2220093,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/13/2022 0:00,20108675,1830610,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Other,Codes to be Added,Other,S/N on label 1830610 but scan 1830358, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/13/2022 0:00,853-043759-223,1687194,Test,CL-1,Kiyo Test Clone 1,50W Test,50W Test,C5 Cap Position,C5 CAP POSITION OUT OF SPEC.  201.82  167.92 277.62, Replace Component/NCR,20052572,CVUN-1500BC/7-BEAA,Capacitor
9/13/2022 0:00,853-043759-925,1687219,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Damaged Parts,"Cap out of spec, Spec 250pf +/_ 2.5pf, Reading 246.98pf", Replace Component/NCR,10000581-003,CFMN-250AAC/15-DE-E,Capacitor
9/14/2022 0:00,20031907,2210166,Calibration,PMD Station,PMD Station,Phase Mag Tests,,D1,R67 could not tune to meet the specs., Replace Component/NCR,20045325,ASSY PMD 400KHZ GND-ISO NON-CAL,Phase Mag
9/14/2022 0:00,20105342,1685421,Assembly,4-D,AMAT/LAM Bench,Assembly,Station Issues,Fixture/Others,Nick top section, Replace Component/NCR,20069013,"CONN,RF,PLUG,S25-SPECIAL",Others
9/14/2022 0:00,20108675,1830371,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/14/2022 0:00,20108675,1830423,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Voltage Test,V-Side Test,RF Setting Limit Exceeded,'Rfsetl-V, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/14/2022 0:00,20108675,1830553,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Other,Codes to be Added,Other,S/N on label 1830553 but scan 1830301, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/14/2022 0:00,20108675,1830612,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Other,Codes to be Added,Other,S/N on label 1830612 but scan 1830360, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/14/2022 0:00,20108675,2220097,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/14/2022 0:00,853-043759-223,1687184,Test,CL-1,Kiyo Test Clone 1,Document,OMS/TP/Others,Incorrect HW,"MATCH SHORT TO GROUND @ 7J4 D-SUB CONNECTOR, NEED TO OPEN THE MATCH TO INVESTIGATE.",Open Match to Investigate,,,Cables & Cable Assy's
9/14/2022 0:00,853-043759-223,1687203,Assembly,1-G,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,PCBA Board,PCBA1 doesn't Initialize for Motor 1 #2, Replace Component/NCR,,,Controller PCBA
9/15/2022 0:00,10006212,1688174,Test,CL-2,Kiyo Test Clone 2,Burn-In,List the highlighted failed parameter,C1 Cap Position,C1 CAP POSITION OUT OF SPEC.  187.27  236.66 235.23, Replace Component/NCR,20068947,CVBA-500BC/5-BEA-L1,Capacitor
9/15/2022 0:00,20069401,1682863,Assembly,4-B,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Counter sink was wrong, Replace Component/NCR,20069332,"CHASSIS, MDP MINI PIB MOUNT",Sheet Metal
9/15/2022 0:00,20069401,1682864,Assembly,4-D,AMAT/LAM Bench,Assembly,Station Issues,Fixture/Others,Missing sub part cable inside  F1=2 -FLIU, Replace Component/NCR,20033669,CA ASSY DC PWR  FAN SUPPLY,Cables & Cable Assy's
9/15/2022 0:00,20079868,2130539,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A1,Center conductor issue., Replace Component/NCR,20087131,"PMD ASSY,VHF,27.12MHz,GND-REF NON-CAL",Phase Mag
9/15/2022 0:00,20105342,1685423,Assembly,4-B,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Chassis due to scratch and bent at the corner, Replace Component/NCR,20066183,ENCLOSURE,Sheet Metal
9/15/2022 0:00,20108675,1820009,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Voltage Test,V-Side Test,RF Setting Limit Exceeded,Rfsetl-V, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/15/2022 0:00,20108675,1941706,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Other,Codes to be Added,Other,Could not match network, Replace Component/NCR,,,V/I Probe
9/15/2022 0:00,20108675,2012833,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/15/2022 0:00,20108675,2012901,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Voltage Test,V-Side Test,Could Not Tune Coeff,Some files could not be tuned, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/15/2022 0:00,20108675,2034536,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Other,Codes to be Added,Other,Could not match network, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/15/2022 0:00,20108675,2148024,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Other,Codes to be Added,Other,Could not match network, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/15/2022 0:00,853-043759-223,1687181,Test,CL-1,Kiyo Test Clone 1,Document,OMS/TP/Others,Incorrect HW,PHASE MAG SHORT TO GOUND @ 7J4 D-SUB CONNECTOR, Replace Component/NCR,20077928,ASSY PH MAG 853-800749-009,Phase Mag
9/16/2022 0:00,10011100,1688898,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Damaged Parts,Cover (10005549) scratch on the top, Replace Component/NCR,20049946,KIYO SHEETMETAL KIT PACKAGE,Sheet Metal
9/16/2022 0:00,20031909,2210111,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A3,C11 could not tune to meet specs., Replace Component/NCR,20045849,ASSY PMD 40MHZ GND-ISO NON-CAL,Phase Mag
9/16/2022 0:00,20031909,2230273,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A3,C11 could not tune to meet specs., Replace Component/NCR,,,Phase Mag
9/16/2022 0:00,20063637,1688156,Test,1-ET,Flex Test Bench,RF Failure,RF Failure,RF Arched,"Match failed RF test, suggest replace converter PCB and re-calibration VI Probe.", Replace Component/NCR,10010525,ASSY DUAL RF CURRENT SENSOR,Others
9/16/2022 0:00,20063637,1688161,Test,1-ET,Flex Test Bench,RF Failure,RF Failure,RF Arched,"Match failed RF test, suggest replace converter PCB and re-calibration VI Probe.", Replace Component/NCR,10010525,ASSY DUAL RF CURRENT SENSOR,Others
9/16/2022 0:00,20067921,1688138,Assembly,4-C,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Missing pem nuts., Replace Component/NCR,20063812,"PANEL, MOTOR MTG",Sheet Metal
9/16/2022 0:00,20108540,1684339,Test,2-BT,Test Bench,Components,Component Failures,Damaged Parts,Failed Impedance., Replace Component/NCR,10007217,PCB ASSY MATCH CONTROLLER V1.2.3,Controller PCBA
9/16/2022 0:00,20108676,1820199,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Current Test,I-Side Test,Operator '!',Operator '!'-I, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/16/2022 0:00,20108676,1830295,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Other,Codes to be Added,Other,S/N on label 1830547 but scan 1830295, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/16/2022 0:00,20108676,2012904,Calibration,VI-TFX-3,VI TFX 3_SN 599228,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/17/2022 0:00,20031909,2230283,Calibration,PMD Station,PMD Station,Phase Mag Tests,,A3,C11 could not tune to meet the specs, Replace Component/NCR,20045849,ASSY PMD 40MHZ GND-ISO NON-CAL,Phase Mag
9/19/2022 0:00,10006212,1688172,Test,CL-1,Kiyo Test Clone 1,25W Test,25W Test,C1 Cap Position,C1 CAP POSITION OUT OF SPEC.  69.50  490.60  160.36, Replace Component/NCR,20068947,CVBA-500BC/5-BEA-L1,Capacitor
9/19/2022 0:00,20069401,1682865,Test,2-BT,Test Bench,RF Failure,RF Failure,RF Arched,Failed Rf reflective Power got high .see attach, Replace Component/NCR,20067337,"PMD ASSY, ANALOG, 13MHz, CW",Phase Mag
9/19/2022 0:00,20082481,1688383,Assembly,4-D,AMAT/LAM Bench,Assembly,Station Issues,Fixture/Others,Scratches lower section, Replace Component/NCR,20069333,"TOP PANEL, MDP MINI PIB MOUNT",Sheet Metal
9/19/2022 0:00,20088206,1688904,Test,2-BT,Test Bench,Document,OMS/TP/Others,Incorrect HW,"top cover scratch, QA reject", Replace Component/NCR,,,Sheet Metal
9/19/2022 0:00,20088206,1688905,Test,2-BT,Test Bench,Components,Component Failures,Damaged Parts,Need to replace C1, Replace Component/NCR,10003062-001,CVZV-4000BC/5-BCF,Capacitor
9/19/2022 0:00,20101362-001,2220096,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Components,Component Failures,Cable,Bootload Error-Cable Failure, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/19/2022 0:00,853-043759-223,1691890,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Damaged Parts,"Cap not stable during the measure, does not reach to the spec.", Replace Component/NCR,20052572,CVUN-1500BC/7-BEAA,Capacitor
9/19/2022 0:00,853-043759-225,1691908,Assembly,1-B,Kiyo Assembly bench,Components,Component Failures,PCB Failure,PCBA #2 causing capacitor #4 not to perform properly as data for Cap 4 is incorrect in LAM GUI., Replace Component/NCR,,,Controller PCBA
9/20/2022 0:00,10011100,1693660,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Damaged Parts,Dent on the part. (see red arrow), Replace Component/NCR,10000594-003,CFMN-50CAC/15-AF-H,Capacitor
9/20/2022 0:00,10011100,1693661,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Black spots on the cover., Replace Component/NCR,20049946,KIYO SHEETMETAL KIT PACKAGE,Sheet Metal
9/20/2022 0:00,10011100,1693665,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Damaged Parts,Received PCBA J11 connector damage, Replace Component/NCR,,,Controller PCBA
9/20/2022 0:00,20067921,1688152,Assembly,2-A,SIRF Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,dented enclosure, Replace Component/NCR,20068280,"CHASSIS, AMAT DSM ANLG BOTTOM TUNER IPS",Sheet Metal
9/20/2022 0:00,20067921,1688153,Assembly,2-A,SIRF Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,missing USB lettering, Replace Component/NCR,20068280,"CHASSIS, AMAT DSM ANLG BOTTOM TUNER IPS",Others
9/20/2022 0:00,20088206,1688604,Assembly,3-C,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Top Panel Scratched (From Vendor), Replace Component/NCR,20030832,PANEL TOP,Sheet Metal
9/20/2022 0:00,20114640,1691836,Assembly,4-B,Flex Assembly Bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,Chassis was damaged at the corner (bent and defect ), Replace Component/NCR,20066183,ENCLOSURE,Sheet Metal
9/20/2022 0:00,853-043759-225,1691913,Assembly,1-B,Kiyo Assembly bench,Components,Component Failures,Damaged Parts,capacitor #3 failed to meet specs in steps 0 and 500., Replace Component/NCR,10000714-019,CVUN-500BC/12-BEAA,Capacitor
9/20/2022 0:00,853-043759-925,1691918,Assembly,1-B,Kiyo Assembly bench,Components,Component Failures,Damaged Parts,capacitor #3 failed to meet specs in steps 0 and 500., Replace Component/NCR,10000714-019,CVUN-500BC/12-BEAA,Capacitor
